gname,gid,year,end,duration,base,num_base,mul_bases,EAP,ECA,LAC,MENA,NA,SAS,SSA,left,nat,rel,right,size,peak_size,ercsr,pch,sq,tch,terr_POP,shr_trans,total_atks,total_casualties,endstr,terrctrl,lead_hierarch,drugtk,diversity,kidnap,state_sponsor,num_sponsor,social_service,public_service,num_allies,num_rivals,num_enemies,fate_leader,total_deaths,total_injuries,terr_deaths,terr_injuries,nonterr_deaths,nonterr_injuries,terr_casualties,nonterr_casualties
1920 Revolution Brigades,1,2003,0,1,Iraq,1,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,0.0,0.0,,,9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920 Revolution Brigades,1,2004,0,2,Iraq,1,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.07599763328170434,1.0,2.0,34.0,0,,,,0.0,0.0,,,9,,,,,0.0,15.0,19.0,1.0,0.0,14.0,19.0,1.0,33.0
1920 Revolution Brigades,1,2005,0,3,Iraq,1,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,0.0,0.0,,,9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920 Revolution Brigades,1,2006,0,4,Iraq,1,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,0.0,0.0,,,9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920 Revolution Brigades,1,2007,1,5,Iraq,1,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0.0,0.0,,,9,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23rd of September Communist League,2,1973,0,1,Mexico,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,0.0,0.0,,,9,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23rd of September Communist League,2,1974,0,2,Mexico,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,,100.0,1.0,0.0,0.0,0.0,0.03384770964310924,1.0,2.0,0.0,0,,,,0.5,1.0,,,9,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23rd of September Communist League,2,1975,0,3,Mexico,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,,100.0,1.0,0.0,0.0,0.0,0.11499464642423572,0.2857142857142857,7.0,36.0,0,,,,0.24489795918367355,1.0,,,9,1.0,,,,1.0,32.0,4.0,0.0,0.0,32.0,4.0,0.0,36.0
23rd of September Communist League,2,1976,0,4,Mexico,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,,100.0,1.0,0.0,0.0,0.0,0.22355731002622758,0.42857142857142855,14.0,29.0,0,,,,0.6224489795918368,1.0,,,9,1.0,,,,0.0,24.0,5.0,0.0,0.0,24.0,5.0,0.0,29.0
23rd of September Communist League,2,1977,0,5,Mexico,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,,100.0,1.0,0.0,0.0,0.0,0.07770504792505455,0.6,5.0,7.0,0,,,,0.6399999999999999,1.0,,,9,1.0,,,,2.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
