country,country_code,happiness_score,year,nattacks,region_txt,fsi,country_code_2,latitude,longitude
Switzerland,CHE,7.5870000000000015,2015,0.0,,22.3,CH,46.818188,8.227511999999999
Iceland,ISL,7.561,2015,0.0,,23.4,IS,64.96305100000001,-19.020835
Denmark,DNK,7.527,2015,5.0,Western Europe,21.4,DK,56.26392,9.501785
Norway,NOR,7.522,2015,0.0,,20.9,NO,60.472024,8.468946
Canada,CAN,7.427,2015,5.0,North America,25.6,CA,56.130366,-106.34677099999999
Finland,FIN,7.4060000000000015,2015,9.0,Western Europe,17.7,FI,61.92411,25.748151
Netherlands,NLD,7.377999999999999,2015,3.0,Western Europe,26.9,NL,52.132633,5.291266
Sweden,SWE,7.364,2015,32.0,Western Europe,20.2,SE,60.128161,18.643501
New Zealand,NZL,7.286,2015,0.0,,22.6,NZ,-40.900557,174.88597099999998
Australia,AUS,7.284,2015,14.0,Australasia & Oceania,24.3,AU,-25.274398,133.775136
Israel,ISR,7.278,2015,58.0,Middle East & North Africa,,IL,31.046051000000002,34.851612
Costa Rica,CRI,7.226,2015,0.0,,46.8,CR,9.748917,-83.753428
Austria,AUT,7.2,2015,0.0,,25.8,AT,47.516231,14.550072
Mexico,MEX,7.187,2015,19.0,North America,71.9,MX,23.634501,-102.552784
United States,USA,7.119,2015,38.0,North America,35.4,US,37.09024,-95.712891
Brazil,BRA,6.983,2015,5.0,South America,62.7,BR,-14.235004,-51.92528
Luxembourg,LUX,6.9460000000000015,2015,0.0,,22.1,LU,49.815273,6.129583
Ireland,IRL,6.94,2015,28.0,Western Europe,24.6,IE,53.41291,-8.243889999999999
Belgium,BEL,6.937,2015,0.0,,30.5,BE,50.503887,4.469936
United Arab Emirates,ARE,6.901,2015,0.0,,46.2,AE,23.424076,53.847818000000004
United Kingdom,GBR,6.867000000000001,2015,115.0,Western Europe,33.4,GB,55.378051,-3.435973
Oman,OMN,6.853,2015,0.0,,52.0,OM,21.512583,55.923255000000005
Venezuela,VEN,6.81,2015,3.0,South America,78.7,VE,6.42375,-66.58973
Singapore,SGP,6.797999999999999,2015,0.0,,34.4,SG,1.352083,103.819836
Panama,PAN,6.7860000000000005,2015,0.0,,54.6,PA,8.537981,-80.782127
Germany,DEU,6.75,2015,66.0,Western Europe,28.1,DE,51.165690999999995,10.451526
Chile,CHL,6.67,2015,1.0,South America,41.5,CL,-35.675146999999996,-71.542969
Qatar,QAT,6.6110000000000015,2015,1.0,Middle East & North Africa,46.3,QA,25.354826,51.183884
France,FRA,6.575,2015,37.0,Western Europe,33.7,FR,46.227638,2.213749
Argentina,ARG,6.574,2015,1.0,South America,47.6,AR,-38.416097,-63.616671999999994
Czech Republic,CZE,6.505,2015,4.0,Eastern Europe,37.4,CZ,49.817492,15.472961999999999
Uruguay,URY,6.485,2015,0.0,,36.4,UY,-32.522779,-55.765834999999996
Colombia,COL,6.477,2015,136.0,South America,82.5,CO,4.570868,-74.297333
Thailand,THA,6.455,2015,278.0,Southeast Asia,79.1,TH,15.870032,100.992541
Saudi Arabia,SAU,6.4110000000000005,2015,103.0,Middle East & North Africa,71.6,SA,23.885942,45.079162
Spain,ESP,6.329,2015,1.0,Western Europe,40.9,ES,40.463667,-3.7492199999999998
Malta,MLT,6.3020000000000005,2015,1.0,Western Europe,40.9,MT,35.937496,14.375416
Taiwan,TWN,6.297999999999999,2015,0.0,,,TW,23.69781,120.96051499999999
Kuwait,KWT,6.295,2015,1.0,Middle East & North Africa,57.5,KW,29.311659999999996,47.481766
Suriname,SUR,6.269,2015,0.0,,68.4,SR,3.9193050000000005,-56.02778299999999
