Place;Tourist origin;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12
Metropolitan France;All;6000.6;6594.58;7835.05;8937.22;10165.17;10586.5;11757.71;11776.61;10453.91;8876.86;6929.14;7038.34;6307.68;6634.73;8027.48;9304.56;9899.5;11357.06;12314.8;12103.47;10763.19;9444.43;7189.12;7268.88;6449.71;6826.25;8344.35;9107.86;10072.33;11086.47;12089.92;12188.1;10822.08;9195.52;7470.6;7295.67;6258.54;6735.53;8464.64;8818.71;10472.29;11202.78;12048.94;12793.32;10661.56;9321.37;7383.58;7354.93;6335.92;6769.17;8057.2;9123.76;10082.93;11009.62;11668.03;12748.88;10517.43;9360.74;7054.3;7515.79;6449.88;7039.99;8093.38;9218.21;10639.09;11179.63;12516.2;12944.97;10893.93;9561.86;6991.09;7164.01;6344.01;7179.84;8505.83;8938.93;10395.32;10864.31;12554.03;12213.19;10606.97;9753.64;7509.46;7760.01;6866.91;7283.68;8570.64;10104.35;10434.16;11527.48;12941.78;12797.75;11308.26;10004.43;7933.62;8121.37;7000.54;7382.6;9188.49;9622.67;10693.7;11783.66;12931.54;13261.37;11469.08;10304.05;8138.77;7983.17
Guadeloupe;All;28.64;31.13;28.09;27.52;25.46;20.32;29.26;29.02;14.2;18.75;24.87;29.44;32.46;29.41;31.49;29.98;24.5;23.53;28.52;34.35;13.83;21.56;25.36;31.1;30.56;29.54;30.54;29.71;25.01;22.74;29.2;29.72;13.25;21.39;25.26;29.92;31.47;33.13;35.61;29.01;28.43;22.23;26.44;34.23;15.97;20.05;26.55;33.48;30.92;31.2;27.49;26.37;20.75;16.42;23.39;26.7;9.12;21.34;27.22;25.66;28.04;27.06;29.14;26.82;25.93;16.73;21.04;22.77;14.69;17.31;18.86;27.73;26.5;24.93;27.81;21.58;21.04;19.33;25.34;25.41;11.27;20.98;23.12;31.22;27.84;30.37;33.4;33.99;27.2;28.59;29.05;31.58;16.68;23.09;24.44;33.06;35.37;34.99;35.72;31.33;32.01;23.13;30.42;33.3;14.68;22.18;28.17;34.02
Martinique;All;27.65;30.41;27.26;27.6;28.89;18.75;24.58;33.32;14.98;17.96;22.95;26.84;29.26;28.91;28.47;26.06;21.34;18.28;25.83;32.23;14.06;18.09;24.34;28.07;28.23;30.41;28.06;25.4;23.95;14.07;26.48;32.97;13.77;17.45;24.46;25.51;36.03;27.78;32.15;26.43;25.45;13.93;26.73;33.73;13.06;20.32;25.08;24.7;22.51;25.6;27.63;25.27;21.35;17.4;22.66;28.43;13.11;20.77;18.75;31.03;23.19;26.84;24.11;26.12;24.99;17.54;27.35;33.27;14.23;21.05;19.53;25.08;22.19;23.66;24.07;22.46;21.83;16.47;26.11;29.49;14.42;21.48;21.99;26.8;25.11;25.7;25.0;28.53;22.87;21.09;31.74;35.17;21.55;23.86;27.05;32.14;30.59;35.86;37.6;31.86;28.64;18.78;29.31;38.51;18.28;23.79;27.02;30.66
 Guiana;All;9.09;9.29;10.62;9.36;8.45;8.01;10.17;10.87;8.57;9.11;9.39;9.02;8.59;8.08;9.54;9.27;8.72;8.8;10.44;7.73;8.7;10.26;10.98;10.3;8.37;9.73;9.18;9.48;8.58;8.69;10.07;11.56;10.22;11.34;12.11;10.85;8.3;8.44;10.0;9.54;11.67;12.04;10.46;11.34;8.93;10.27;12.21;12.82;11.63;9.83;10.54;9.6;8.54;9.91;8.95;9.11;6.79;10.35;10.6;11.34;7.58;11.07;14.88;9.0;11.56;9.16;10.01;12.1;11.55;14.69;13.39;15.46;11.71;8.69;13.03;13.39;10.88;9.59;15.38;14.81;10.53;12.78;13.25;12.55;11.29;7.46;11.28;7.07;10.7;11.92;12.63;14.72;10.71;13.14;13.7;14.58;13.19;11.88;13.95;11.82;11.76;11.57;11.5;12.74;12.58;14.47;14.09;15.03
La Reunion;All;32.9;26.27;28.38;32.52;33.51;23.77;32.29;35.51;31.82;42.82;40.39;38.13;38.33;31.53;33.0;33.99;31.3;26.2;34.13;34.92;35.8;47.45;42.34;43.6;39.13;33.1;34.9;35.42;35.94;27.13;34.53;37.61;32.89;43.25;44.55;39.15;35.39;26.82;40.62;31.7;38.09;27.38;35.73;41.18;34.03;47.13;42.32;43.42;35.98;30.91;38.63;36.22;35.96;28.62;35.73;42.5;32.37;44.0;43.86;39.17;38.84;30.73;37.33;40.23;41.8;31.66;40.88;44.83;41.24;54.49;47.65;51.47;51.7;40.04;45.55;43.54;44.75;34.9;47.43;47.49;41.48;55.44;50.93;52.6;57.05;38.7;46.95;48.01;47.45;39.9;52.62;58.98;54.96;63.93;62.39;63.29;56.73;49.64;55.89;57.02;60.54;48.72;60.07;63.12;57.02;69.38;55.45;61.81
Ile-de-France;All;2207.96;2201.94;2659.75;2617.92;2938.34;2944.95;2843.59;2489.59;2834.6;2859.39;2487.11;2696.66;2289.79;2160.92;2695.19;2794.54;2937.59;3048.88;3008.23;2601.48;2899.17;2939.44;2592.3;2728.69;2334.13;2255.19;2729.17;2779.21;2892.22;3080.47;2964.07;2607.31;2853.83;2930.86;2597.18;2663.99;2192.96;2259.92;2686.59;2760.9;2924.21;3092.44;2871.45;2683.81;2842.53;2933.71;2560.52;2676.61;2246.86;2154.67;2615.04;2783.58;2865.38;2994.64;2887.51;2746.72;2796.32;2978.59;2481.04;2700.73;2269.71;2212.69;2596.31;2762.78;2978.75;3090.12;3116.87;2814.79;2905.58;2999.18;2334.84;2325.56;2105.62;2100.86;2565.77;2505.51;2811.58;2811.33;2867.21;2323.59;2686.33;2871.41;2553.23;2678.65;2462.18;2230.75;2747.28;2869.89;2934.43;3153.01;3129.63;2605.43;2989.91;3069.24;2749.35;2871.73;2517.65;2402.55;2997.55;2912.04;3002.54;3231.99;3268.61;2809.35;3002.69;3256.52;2862.87;2768.73
Centre-Val de Loire;All;166.87;189.11;249.37;315.19;385.39;417.79;511.09;496.95;396.51;313.91;226.58;198.61;193.6;193.93;249.98;321.23;365.13;452.06;528.66;503.29;392.35;332.4;242.55;211.53;196.0;209.5;263.28;339.65;385.62;431.75;510.36;493.69;403.36;315.16;250.04;197.2;182.36;190.22;272.77;296.66;390.09;423.62;505.06;516.84;390.29;317.88;242.3;210.83;186.32;198.85;250.21;321.4;371.99;423.66;484.35;496.85;390.09;321.94;225.18;206.31;191.06;213.08;253.64;321.31;390.61;415.77;517.84;536.82;423.8;353.77;223.65;222.64;192.42;216.18;276.12;327.67;393.65;406.46;524.8;527.99;403.36;348.83;239.54;225.62;194.93;211.43;260.86;366.74;389.31;433.29;535.54;534.51;421.78;353.0;258.65;239.59;205.02;218.27;279.77;354.33;401.12;443.63;521.17;547.52;425.0;357.85;255.56;237.05
Bourgogne-Franche-Comte;All;241.91;308.87;333.78;414.1;474.67;494.51;604.75;578.96;498.72;404.99;287.05;266.32;253.63;291.21;337.45;408.2;432.39;539.87;622.55;593.34;513.65;410.69;292.33;274.66;250.58;281.45;339.19;376.73;438.52;508.29;614.75;578.16;501.43;389.55;297.32;265.98;227.35;273.67;354.16;361.74;459.21;508.75;592.46;590.2;483.64;401.55;284.94;271.87;249.33;300.85;332.3;397.71;449.29;515.26;594.1;614.57;488.83;413.08;298.43;291.43;256.03;324.48;341.83;406.88;494.13;526.67;633.97;636.84;514.66;433.8;308.81;298.2;262.54;334.37;370.6;388.75;472.9;498.89;633.7;601.03;494.77;419.63;326.27;306.6;269.46;326.99;364.72;433.73;462.0;527.19;654.24;613.3;520.68;434.71;327.89;319.88;275.89;320.86;407.84;411.85;491.81;541.05;620.1;622.11;517.58;436.29;323.14;305.63
Normandie;All;210.05;252.95;318.79;430.0;478.52;496.94;553.78;575.29;471.48;381.35;280.93;225.42;224.29;275.46;326.21;448.95;442.03;520.33;534.66;558.65;481.45;434.63;298.31;248.52;230.49;260.27;345.33;401.51;473.89;486.6;532.59;568.34;482.36;375.39;312.77;249.2;219.4;245.38;351.51;379.81;487.23;508.49;554.7;621.18;462.0;398.62;305.25;248.82;218.51;258.49;332.29;408.01;469.32;513.88;545.25;603.7;478.13;402.91;294.8;252.14;226.31;267.83;334.33;419.33;491.24;510.08;561.99;595.44;462.81;394.98;281.0;267.28;222.23;275.68;339.31;385.68;476.97;467.78;566.39;583.19;482.12;436.88;307.53;278.02;236.71;285.78;341.78;467.25;477.3;516.35;561.67;587.78;488.91;428.25;325.52;275.96;233.22;280.93;356.34;438.42;508.54;537.25;591.24;634.88;519.76;444.21;332.15;287.56
Hauts-de-France;All;308.91;338.58;403.19;476.24;517.69;526.02;550.05;500.03;517.94;464.06;381.4;366.62;323.42;349.97;416.69;489.67;499.26;566.75;533.42;496.43;513.82;484.86;387.7;367.94;327.77;352.58;425.82;484.85;505.14;554.44;529.82;513.61;526.66;484.97;425.44;398.11;327.7;343.58;441.07;465.33;530.16;545.4;550.65;545.12;516.39;486.88;424.53;384.37;325.69;362.28;426.61;492.42;523.5;552.76;546.46;561.16;536.93;497.18;411.38;391.38;338.09;365.83;427.62;496.84;543.17;550.48;573.34;545.17;545.6;508.52;411.97;398.75;356.45;385.26;448.65;481.1;540.77;567.98;555.71;516.77;516.46;497.8;414.32;409.21;348.81;369.33;446.25;530.75;514.27;549.32;561.35;534.56;540.67;507.06;437.63;429.81;359.07;374.16;446.02;490.06;520.41;561.27;565.74;560.16;551.21;524.0;446.96;418.42
