country_code,iyear,region,sfi,effect,legit,seceff,secleg,poleff,polleg,ecoeff,ecoleg,soceff,socleg,elec_leftsoc,elec_comm,elec_conserv,elec_right,turnout,region_txt,kills,killster,nattacks,armed_assault_type,bomb_exp_type,cit_tar,gov_tar,mil_tar,happiness_score,gdp_per_capita,family,life,freedom,generosity,trust,dystopia,num_arrivals
AFG,1995,2.0,25.0,13.0,12.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,,,South Asia,5.0,0.0,6.0,0.0,2.0,,,,,,,,,,,,
AFG,1996,2.0,24.0,12.0,12.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,,,,,,South Asia,31.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
AFG,1997,2.0,24.0,12.0,12.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,,,,,,South Asia,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,
AFG,1998,2.0,24.0,12.0,12.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,,,,,,South Asia,8.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,
AFG,1999,2.0,24.0,12.0,12.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,,,,,,South Asia,17.0,0.0,7.0,0.0,7.0,2.0,0.0,0.0,,,,,,,,,
AFG,2000,2.0,24.0,12.0,12.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,,,,,,South Asia,38.0,0.0,14.0,1.0,12.0,3.0,4.0,0.0,,,,,,,,,
AFG,2001,2.0,24.0,12.0,12.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,,,,,,South Asia,174.0,2.0,14.0,2.0,10.0,7.0,3.0,0.0,,,,,,,,,
AFG,2002,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,74.0,8.0,37.0,3.0,32.0,8.0,6.0,17.0,,,,,,,,,
AFG,2003,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,149.0,13.0,95.0,17.0,66.0,18.0,13.0,29.0,,,,,,,,,
AFG,2004,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,245.0,6.0,78.0,28.0,34.0,27.0,14.0,8.0,,,,,,,,,
AFG,2005,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,346.0,41.0,146.0,44.0,58.0,47.0,24.0,15.0,,,,,,,,,
AFG,2006,2.0,21.0,12.0,9.0,3.0,3.0,2.0,0.0,4.0,3.0,3.0,3.0,,,,,,South Asia,727.0,129.0,276.0,79.0,148.0,59.0,61.0,32.0,,,,,,,,,
AFG,2007,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,1144.0,256.0,333.0,104.0,177.0,74.0,41.0,27.0,,,,,,,,,
AFG,2008,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,1037.0,91.0,384.0,116.0,171.0,117.0,97.0,18.0,,,,,,,,,
AFG,2009,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,1063.0,106.0,499.0,122.0,281.0,194.0,102.0,2.0,,,,,,,,,
AFG,2010,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,1017.0,127.0,535.0,132.0,263.0,188.0,163.0,5.0,,,,,,,,,
AFG,2011,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,1406.0,195.0,380.0,92.0,209.0,143.0,93.0,16.0,,,,,,,,,
AFG,2012,2.0,22.0,12.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,,South Asia,2747.0,748.0,1043.0,246.0,644.0,319.0,150.0,99.0,,,,,,,,,
AFG,2013,2.0,21.0,11.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,,,,,,South Asia,3126.0,1058.0,1156.0,304.0,637.0,317.0,172.0,76.0,,,,,,,,,
AFG,2014,2.0,21.0,11.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,,,,,,South Asia,4517.0,1923.0,1602.0,334.0,912.0,509.0,241.0,99.0,,,,,,,,,
AFG,2015,2.0,21.0,11.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,,,,,,South Asia,5328.0,2505.0,1723.0,522.0,671.0,568.0,207.0,86.0,3.575,0.31982,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,1.9521,
AFG,2016,2.0,21.0,11.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,,,,,,South Asia,4631.0,2340.0,1353.0,292.0,594.0,492.0,148.0,64.0,3.36,0.38227,0.11037000000000001,0.17344,0.1643,0.07112,0.31268,2.14558,
AFG,2017,2.0,21.0,11.0,10.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,,,,,,South Asia,4708.0,2146.0,1184.0,282.0,476.0,398.0,135.0,95.0,3.7939999103546103,0.401477217674255,0.581543326377869,0.18074677884578697,0.106179520487785,0.311870932579041,0.0611578300595284,2.15080118179321,
AFG,2018,2.0,20.0,10.0,10.0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,,,,,,South Asia,7424.0,3305.0,1452.0,354.0,494.0,394.0,221.0,97.0,,,,,,,,,
ALB,1995,2.0,8.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,304000.0
ALB,1996,2.0,8.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,,,,,Eastern Europe,7.0,0.0,6.0,0.0,4.0,1.0,3.0,0.0,,,,,,,,,287000.0
ALB,1997,2.0,9.0,5.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,,,,,,Eastern Europe,26.0,1.0,40.0,10.0,19.0,7.0,11.0,0.0,,,,,,,,,119000.0
ALB,1998,2.0,8.0,6.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,,,,,,Eastern Europe,0.0,0.0,7.0,0.0,7.0,0.0,5.0,0.0,,,,,,,,,184000.0
ALB,1999,2.0,7.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,,,,,,Eastern Europe,4.0,2.0,2.0,0.0,1.0,,,,,,,,,,,,371000.0
ALB,2000,2.0,7.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,,,,,,Eastern Europe,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,,,,,,,,,317000.0
ALB,2001,2.0,7.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,,,,,,Eastern Europe,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,354000.0
ALB,2002,2.0,7.0,6.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,470000.0
ALB,2003,2.0,7.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,,,,,,Eastern Europe,0.0,0.0,1.0,,,1.0,0.0,0.0,,,,,,,,,557000.0
ALB,2004,2.0,7.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,645000.0
ALB,2005,2.0,5.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,748000.0
ALB,2006,2.0,5.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,937000.0
ALB,2007,2.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1062000.0
ALB,2008,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1247000.0
ALB,2009,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,Eastern Europe,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,1711000.0
ALB,2010,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2191000.0
ALB,2011,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2469000.0
ALB,2012,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3156000.0
ALB,2013,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,Eastern Europe,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,2857000.0
ALB,2014,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,Eastern Europe,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,,,,,,,,,3341000.0
ALB,2015,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,Eastern Europe,0.0,0.0,1.0,0.0,1.0,,,,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,1.89894,3784000.0
ALB,2016,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,Eastern Europe,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.9281599999999999,4070000.0
ALB,2017,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,Eastern Europe,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.64400005340576,0.996192753314972,0.8036852478981021,0.731159746646881,0.381498634815216,0.20131294429302202,0.0398642159998417,1.49044156074524,
ALB,2018,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,1995,2.0,18.0,8.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,1996,2.0,18.0,8.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,1997,2.0,18.0,8.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,1998,2.0,18.0,8.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,1999,2.0,18.0,8.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2000,2.0,18.0,8.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2001,2.0,18.0,8.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2002,2.0,17.0,7.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2003,2.0,17.0,7.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2004,2.0,17.0,7.0,10.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2005,2.0,16.0,6.0,10.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2006,2.0,16.0,6.0,10.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2007,2.0,15.0,5.0,10.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2008,2.0,14.0,5.0,9.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2009,2.0,13.0,4.0,9.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2010,2.0,13.0,4.0,9.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2011,2.0,13.0,4.0,9.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2012,2.0,14.0,5.0,9.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2013,2.0,14.0,5.0,9.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2014,2.0,12.0,4.0,8.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2015,2.0,12.0,4.0,8.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2016,2.0,11.0,3.0,8.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2017,2.0,11.0,3.0,8.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ALG,2018,2.0,11.0,3.0,8.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,1995,1.0,23.0,11.0,12.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,1996,1.0,23.0,11.0,12.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,1997,1.0,22.0,11.0,11.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,1998,1.0,21.0,10.0,11.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,1999,1.0,21.0,10.0,11.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2000,1.0,22.0,10.0,12.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2001,1.0,22.0,10.0,12.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2002,1.0,20.0,10.0,10.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2003,1.0,20.0,10.0,10.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2004,1.0,20.0,10.0,10.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2005,1.0,19.0,10.0,9.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2006,1.0,19.0,10.0,9.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2007,1.0,17.0,8.0,9.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2008,1.0,17.0,8.0,9.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2009,1.0,17.0,8.0,9.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2010,1.0,16.0,7.0,9.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2011,1.0,16.0,7.0,9.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2012,1.0,16.0,7.0,9.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2013,1.0,16.0,7.0,9.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2014,1.0,16.0,7.0,9.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2015,1.0,16.0,7.0,9.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2016,1.0,17.0,8.0,9.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2017,1.0,16.0,7.0,9.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ANG,2018,1.0,16.0,7.0,9.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
ARG,1995,4.0,5.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,South America,0.0,0.0,16.0,1.0,5.0,0.0,11.0,0.0,,,,,,,,,2289000.0
ARG,1996,4.0,5.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,South America,1.0,0.0,19.0,4.0,13.0,2.0,5.0,1.0,,,,,,,,,2614000.0
ARG,1997,4.0,5.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,South America,3.0,0.0,11.0,2.0,1.0,4.0,2.0,1.0,,,,,,,,,2764000.0
ARG,1998,4.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3012000.0
ARG,1999,4.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,2898000.0
ARG,2000,4.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2909000.0
ARG,2001,4.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,2620000.0
ARG,2002,4.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2820000.0
ARG,2003,4.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,2995000.0
