,year,country_code,gdpgr,opengr
0,1960,AUS,,
1,1961,AUS,0.04083070531487465,-0.03025227765116545
2,1962,AUS,5.465480327606201,0.009650209566887558
3,1963,AUS,6.1413726806640625,0.06964982577097278
4,1964,AUS,6.200314521789551,-0.007824020916141539
5,1965,AUS,5.02009391784668,-0.014734749894186772
6,1966,AUS,2.930572032928467,-0.04544262522027709
7,1967,AUS,7.191318988800049,-0.00024146301167915496
8,1968,AUS,5.337810516357422,-0.05573758969189957
9,1969,AUS,6.213651657104492,0.035807699465084
10,1970,AUS,6.954851150512695,-0.02310988212457854
11,1971,AUS,3.8875322341918945,-0.02883186401681015
12,1972,AUS,2.277012825012207,0.015330426720850499
13,1973,AUS,4.353259563446045,0.046723460858357324
14,1974,AUS,1.622249960899353,0.10003495445684507
15,1975,AUS,2.482210636138916,-0.07276547759119001
16,1976,AUS,3.8380930423736572,0.0656626947120682
17,1977,AUS,1.486143708229065,-0.015768148333390797
18,1978,AUS,2.01753830909729,0.051567383677664
19,1979,AUS,4.5815749168396,0.09012582656032952
20,1980,AUS,2.7149717807769775,-0.021739432846995865
21,1981,AUS,4.181880950927734,-0.04053865733828188
22,1982,AUS,-0.35642901062965393,-0.03775184446334945
23,1983,AUS,-0.1891973465681076,-0.022230779104094434
24,1984,AUS,6.544863700866699,0.1391271320678762
25,1985,AUS,5.1742844581604,0.015360853761820614
26,1986,AUS,1.5923532247543335,-0.016125712826057015
27,1987,AUS,5.554629802703857,-0.0003792888011981965
28,1988,AUS,4.287199020385742,-0.015100375801486154
29,1989,AUS,4.374363899230957,0.006535192115776134
30,1990,AUS,1.3647315502166748,0.0024482885572079116
31,1991,AUS,-1.303029179573059,0.02583639099364854
32,1992,AUS,3.013415813446045,0.07083982968858238
33,1993,AUS,4.088542461395264,0.02818321996487594
34,1994,AUS,4.73602294921875,0.03369050021275388
35,1995,AUS,3.083036422729492,0.016694202118616275
36,1996,AUS,4.041154861450195,-0.006718088882152418
37,1997,AUS,4.153486251831055,0.05241313088627364
38,1998,AUS,4.996291637420654,-0.022817573956655846
39,1999,AUS,4.108046054840088,0.04830688025269092
40,2000,AUS,3.4110922813415527,0.08128264652551209
41,2001,AUS,2.6128432750701904,-0.06330489145998042
42,2002,AUS,4.106041431427002,-0.030343461691292428
43,2003,AUS,2.733649730682373,-0.07830158373818763
44,2004,AUS,4.058782577514648,0.0580878769112847
45,2005,AUS,2.991612672805786,0.058993575417999766
46,2006,AUS,2.7848589420318604,0.011375817752491857
47,2007,AUS,4.383744716644287,0.019479879499044506
48,2008,AUS,2.53267502784729,0.06842139592525132
49,2009,AUS,1.872598648071289,-0.11225558149158688
50,2010,AUS,2.466369152069092,0.0309840904324008
51,2011,AUS,2.669588327407837,0.031186380274973224
52,2012,AUS,3.92798113822937,-0.04651503404711055
53,2013,AUS,2.2219111919403076,0.031649059761716725
54,2014,AUS,2.5435967445373535,-0.02424761947259091
55,2015,AUS,2.509394645690918,-0.018675541351695024
56,2016,AUS,2.6044788360595703,0.02750697975814953
57,2017,AUS,,0.031835890365376374
58,1960,AUT,,
59,1961,AUT,5.311999797821045,-0.03360217575427282
60,1962,AUT,2.3974993228912354,0.013460115283535412
61,1963,AUT,4.078983783721924,0.017226724062923804
62,1964,AUT,6.037744522094727,0.00948302246979682
63,1965,AUT,2.858076810836792,0.024953712423230412
64,1966,AUT,5.6429338455200195,0.014461275865683465
65,1967,AUT,3.007683277130127,-0.012779662519035062
66,1968,AUT,4.472424507141113,0.014448420611961943
67,1969,AUT,6.276144027709961,0.07531423739224774
68,1970,AUT,7.122812747955322,0.10113952880153887
69,1971,AUT,5.113129138946533,-0.008748023847442554
70,1972,AUT,6.207860946655273,-0.0015529472253550392
71,1973,AUT,4.887300491333008,0.002961543037592884
72,1974,AUT,3.9437503814697266,0.09385252388956977
73,1975,AUT,-0.362303227186203,-0.04983570802513371
74,1976,AUT,4.57700252532959,0.058607791321173996
75,1977,AUT,5.079980850219727,0.006030247538732381
76,1978,AUT,-0.21065348386764526,-0.010113211228252372
77,1979,AUT,5.3566999435424805,0.06115892289986635
78,1980,AUT,1.731485366821289,0.055400252885392076
79,1981,AUT,-0.14429450035095215,0.023517243020240386
80,1982,AUT,2.01125431060791,-0.06256792192003846
81,1983,AUT,2.973088026046753,-0.025655238413702874
82,1984,AUT,0.051275234669446945,0.06567451303924399
83,1985,AUT,2.49867844581604,0.0526946973045892
84,1986,AUT,2.3013927936553955,-0.08659084436261155
85,1987,AUT,1.3571679592132568,-0.018134456827036405
86,1988,AUT,3.2958803176879883,0.059007158365939505
87,1989,AUT,3.8870747089385986,0.05973043400530775
88,1990,AUT,4.345641613006592,0.013467991033531357
89,1991,AUT,3.4416275024414062,-0.020142716920248716
90,1992,AUT,2.093524694442749,-0.034522273171121554
91,1993,AUT,0.5268094539642334,-0.06454397497448261
92,1994,AUT,2.402118682861328,0.043025967734159565
93,1995,AUT,2.6679837703704834,0.03439324267822719
94,1996,AUT,2.3983142375946045,0.02676766788852647
95,1997,AUT,2.2887542247772217,0.0682615508006359
96,1998,AUT,3.5193934440612793,0.02750799443658547
97,1999,AUT,3.3740851879119873,0.017327952484916143
98,2000,AUT,3.8091959953308105,0.09072766800570498
99,2001,AUT,1.1437489986419678,0.025493758822874746
100,2002,AUT,1.491016149520874,-0.006722783345857519
101,2003,AUT,0.9870256185531616,-0.006449704461865213
102,2004,AUT,2.5072669982910156,0.05099078129236001
103,2005,AUT,2.397030830383301,0.03570202067707484
104,2006,AUT,3.754894733428955,0.04311747019502876
105,2007,AUT,3.6756434440612793,0.02696539475499171
106,2008,AUT,0.9694077968597412,0.013306423992860417
107,2009,AUT,-3.4497551918029785,-0.14706501282896578
108,2010,AUT,1.8258436918258667,0.13734509212548307
109,2011,AUT,3.03547739982605,0.06143215801284185
110,2012,AUT,0.5701034069061279,0.0004700160224084815
111,2013,AUT,0.00606216536834836,-0.010325984620388251
112,2014,AUT,0.9132967591285706,-0.00540904653182972
113,2015,AUT,1.0696921348571777,-0.010370663793977997
114,2016,AUT,1.4950299263000488,-0.013942190820862232
115,2017,AUT,,0.03340329894457539
116,1960,BEL,,
117,1961,BEL,4.9740118980407715,0.02564086743702987
118,1962,BEL,5.181514739990234,-0.0020725545932650524
119,1963,BEL,4.40404748916626,0.029470155521861274
120,1964,BEL,6.94762659072876,0.030422534268710555
121,1965,BEL,3.5861451625823975,-0.00015735809425410086
122,1966,BEL,3.1069936752319336,0.012245956255143131
123,1967,BEL,3.868788957595825,-0.012097673351589622
124,1968,BEL,4.172230243682861,0.06595843036127391
125,1969,BEL,6.623164176940918,0.07448173372915079
126,1970,BEL,6.1919941902160645,0.028811657086765807
127,1971,BEL,3.753021478652954,-0.024424234468792272
128,1972,BEL,5.255646705627441,-0.0043594366270134355
129,1973,BEL,6.12232780456543,0.10484351146482229
130,1974,BEL,4.199634075164795,0.11824498040317288
131,1975,BEL,-1.3270002603530884,-0.13058591828571098
132,1976,BEL,5.6527509689331055,0.05782226814890268
133,1977,BEL,0.6261354684829712,-0.011726238688211321
