,year,country_code,left_soc_inc,comm_inc,conserv_inc,right_inc,turnout
0,1960,AUS,,,,,95.5
1,1961,AUS,,,-3.6000000000000014,,95.3
2,1962,AUS,,,-3.6000000000000014,,95.3
3,1963,AUS,,,3.5,,95.7
4,1964,AUS,,,3.5,,95.7
5,1965,AUS,,,3.5,,95.7
6,1966,AUS,,,3.0,,95.1
7,1967,AUS,,,3.0,,95.1
8,1968,AUS,,,3.0,,95.1
9,1969,AUS,,,-5.300000000000004,,95.0
10,1970,AUS,,,-5.300000000000004,,95.0
11,1971,AUS,,,-5.300000000000004,,95.0
12,1972,AUS,,,-2.799999999999997,,95.4
13,1973,AUS,,,-2.799999999999997,,95.4
14,1974,AUS,,,2.8999999999999986,,95.4
15,1975,AUS,,,6.899999999999999,,95.4
16,1976,AUS,,,6.899999999999999,,95.4
17,1977,AUS,,,-3.6999999999999957,,95.0
18,1978,AUS,,,-3.6999999999999957,,95.0
19,1979,AUS,,,-3.6999999999999957,,95.0
20,1980,AUS,,,-0.7000000000000028,,94.4
21,1981,AUS,,,-0.7000000000000028,,94.4
22,1982,AUS,,,-0.7000000000000028,,94.4
23,1983,AUS,,,-3.0,,94.6
24,1984,AUS,,,-3.0,,94.2
25,1985,AUS,,,-3.0,,94.2
26,1986,AUS,,,-3.0,,94.2
27,1987,AUS,,,-0.10000000000000142,,93.8
28,1988,AUS,,,-0.10000000000000142,,93.8
29,1989,AUS,,,-0.10000000000000142,,93.8
30,1990,AUS,,,0.7000000000000028,,95.3
31,1991,AUS,,,0.7000000000000028,,95.3
32,1992,AUS,,,0.7000000000000028,,95.3
33,1993,AUS,,,2.1000000000000014,,95.8
34,1994,AUS,,,2.1000000000000014,,95.8
35,1995,AUS,,,2.1000000000000014,,95.8
36,1996,AUS,,,1.6000000000000014,,95.8
37,1997,AUS,,,1.6000000000000014,,95.8
38,1998,AUS,,,-4.5,8.4,95.0
39,1999,AUS,,,-4.5,8.4,95.0
40,2000,AUS,,,-4.5,8.4,95.0
41,2001,AUS,,,3.1999999999999957,-4.1000000000000005,94.9
42,2002,AUS,,,3.1999999999999957,-4.1000000000000005,94.9
43,2003,AUS,,,3.1999999999999957,-4.1000000000000005,94.9
44,2004,AUS,,,3.3999999999999986,-4.3,94.3
45,2005,AUS,,,3.3999999999999986,-4.3,94.3
46,2006,AUS,,,3.3999999999999986,-4.3,94.3
47,2007,AUS,,,-2.1999999999999957,-4.3,94.8
48,2008,AUS,,,-2.1999999999999957,-4.3,94.8
49,2009,AUS,,,-2.1999999999999957,-4.3,94.8
50,2010,AUS,,,0.9999999999999929,-4.3,93.2
51,2011,AUS,,,0.9999999999999929,-4.3,93.2
52,2012,AUS,,,0.9999999999999929,-4.3,93.2
53,2013,AUS,,,-0.7999999999999972,-4.3,93.2
54,2014,AUS,,,-0.7999999999999972,-4.3,93.2
55,2015,AUS,,,-0.7999999999999972,-4.3,93.2
56,2016,AUS,,,-1.5999999999999943,-4.3,91.0
57,2017,AUS,,,-1.5999999999999943,-4.3,91.0
58,1960,AUT,,,,,94.2
59,1961,AUT,,,,,94.2
60,1962,AUT,,-0.2999999999999998,,,93.8
61,1963,AUT,,-0.2999999999999998,,,93.8
62,1964,AUT,,-0.2999999999999998,,,93.8
63,1965,AUT,,-0.2999999999999998,,,93.8
64,1966,AUT,,-3.0,,,93.8
65,1967,AUT,,-3.0,,,93.8
66,1968,AUT,,-3.0,,,93.8
67,1969,AUT,,-3.0,,,93.8
68,1970,AUT,,-3.0,,,91.8
69,1971,AUT,,-3.0,,,92.4
70,1972,AUT,,-3.0,,,92.4
71,1973,AUT,,-3.0,,,92.4
72,1974,AUT,,-3.0,,,92.4
73,1975,AUT,,-3.0,,,92.9
74,1976,AUT,,-3.0,,,92.9
75,1977,AUT,,-3.0,,,92.9
76,1978,AUT,,-3.0,,,92.9
