country_code;iyear;region;sfi;effect;legit;seceff;secleg;poleff;polleg;ecoeff;ecoleg;soceff;socleg
AFG;1995;2;25;13;12;3;3;3;3;4;3;3;3
AFG;1996;2;24;12;12;3;3;2;3;4;3;3;3
AFG;1997;2;24;12;12;3;3;2;3;4;3;3;3
AFG;1998;2;24;12;12;3;3;2;3;4;3;3;3
AFG;1999;2;24;12;12;3;3;2;3;4;3;3;3
AFG;2000;2;24;12;12;3;3;2;3;4;3;3;3
AFG;2001;2;24;12;12;3;3;2;3;4;3;3;3
AFG;2002;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2003;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2004;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2005;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2006;2;21;12;9;3;3;2;0;4;3;3;3
AFG;2007;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2008;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2009;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2010;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2011;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2012;2;22;12;10;3;3;2;1;4;3;3;3
AFG;2013;2;21;11;10;3;3;2;1;4;3;2;3
AFG;2014;2;21;11;10;3;3;2;1;4;3;2;3
AFG;2015;2;21;11;10;3;3;2;1;4;3;2;3
AFG;2016;2;21;11;10;3;3;2;1;4;3;2;3
AFG;2017;2;21;11;10;3;3;2;1;4;3;2;3
AFG;2018;2;20;10;10;3;3;1;1;4;3;2;3
ALB;1995;2;8;4;4;0;1;1;1;2;0;1;2
ALB;1996;2;8;4;4;0;1;1;1;2;0;1;2
ALB;1997;2;9;5;4;1;2;1;0;2;0;1;2
ALB;1998;2;8;6;2;1;1;2;0;2;0;1;1
ALB;1999;2;7;5;2;0;1;2;0;2;0;1;1
ALB;2000;2;7;5;2;0;1;2;0;2;0;1;1
ALB;2001;2;7;5;2;0;1;2;0;2;0;1;1
ALB;2002;2;7;6;1;1;1;2;0;2;0;1;0
ALB;2003;2;7;5;2;0;1;2;0;2;0;1;1
ALB;2004;2;7;5;2;0;1;2;0;2;0;1;1
ALB;2005;2;5;4;1;0;1;2;0;2;0;0;0
ALB;2006;2;5;4;1;0;1;2;0;2;0;0;0
